Name,URL
AmazGoDaMatBold,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/e0/e0d6/e0d6624467ab27d8d4232dcef0b75767/font.ttf"""
Americana Dreams Bold,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/fc/fc65/fc653f26cb44bdcc4b34d4960f48eb2d/font.ttf"""
Amethyst Zucchini,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/e3/e396/e3960c38096cfdb8f72a7a3291b80bb6/font.ttf"""
Amperzand,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/88/883d/883dc96bee6f70d67f4d6b7291a6cbbb/font.ttf"""
AmstelHeavyNF,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/1c/1ce6/1ce6a6ab34f090cf27ef7b7b7288037c/font.ttf"""
AnarK,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/28/2856/2856ed6b38ce83f328683d4a5d0729da/font.ttf"""
Ancient Geek,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/b1/b1e0/b1e09b6e83619841f2470e017596381a/font.ttf"""
Ancient God Bold,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/e2/e296/e2967d0ddc7691d549ec1890b18abc4d/font.ttf"""
AndalasiaRegular,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/d4/d4cc/d4cc18d8e9c881c5d04584a048cfa247/font.ttf"""
Andrea Karime Normal,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/ee/eed1/eed10e334ad424cb4afa3076300c7a0d/font.ttf"""
Andy Dufresne,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/69/6955/69556947d1b9a1390f0653ff2d6004c9/font.ttf"""
Aneirin,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/44/4403/44038dbce2151ee7d1f964c3d79a6c61/font.ttf"""
Anger,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/0c/0ced/0ced0f770c92aa242ef70e7b5e726c5f/font.ttf"""
Anglo-Saxon Caps,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/09/098e/098e276f3a918aee7ac480552215913d/font.ttf"""
"Anglo-Saxon, 8th c.","""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/38/3833/383359b0c8d11c65f2ed4fe8eab8b293/font.ttf"""
"Anglo-Saxon, 8th c.","""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/7b/7bb7/7bb7f45bab819f099d40b595ab31907b/font.ttf"""
Angsterdamn,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/5b/5b93/5b93abdd8cb59532fb70576abe3c6e43/font.ttf"""
Aniron Bold,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/2e/2e30/2e30c0e2ce7158a62133a0b328e71e72/font.ttf"""
Aniron,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/76/767c/767cb11dc1ee01154718463adc3a1d1e/font.ttf"""
Another America,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/b9/b94c/b94c5dd3f9f2594a93cff95b5b6b01d4/font.ttf"""
Another,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/d7/d7f3/d7f3e56f3255cae11eeb2951357e2844/font.ttf"""
AnotherHandFont,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/08/0850/08504eed5be705f3d251eaee7f6b29fc/font.ttf"""
Anyong,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/bc/bc3f/bc3fa53fa4d2f0b13818839ad9e0d5f4/font.ttf"""
Apollyon™,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/8a/8aca/8acac2eb5c3b96a1015b5a5669b229c1/font.ttf"""
Aquiline,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/04/0414/04145e845c000a68372bed1949d074f3/font.ttf"""
AquilineTwo,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/4e/4e50/4e50e131297b700eaf71bcda5b9ec8da/font.ttf"""
ArabDancesMediumItalic,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/23/230f/230f68082e252bfbd540d6cb80087c53/font.ttf"""
Arabolical,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/63/6370/63703180da67852a7ecf01c118869ed8/font.ttf"""
Ardagh,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/86/86b9/86b9bbbfc24348ffa7f6e3e432981fea/font.ttf"""
Argor Man Scaqh,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/91/915d/915d1737d0f5687f56ffac247d082ffe/font.ttf"""
Argosy 3D,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/32/324c/324c99a637e28a2bf6f8d195fe554d34/font.ttf"""
Argosy Bold,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/f8/f85b/f85ba45b769eca44f0f5644ef3e53ccf/font.ttf"""
Argosy Expanded,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/15/1517/15179ce610f32dcc82af1827c31ab2ed/font.ttf"""
Argosy Italic,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/8d/8de3/8de319a86c83503eb9753d965121f8d5/font.ttf"""
Argosy,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/f6/f6f9/f6f925675b9c04abbab8783a5d263522/font.ttf"""
Art Nouveau Caps,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/19/1980/1980c9662fd76cf4e576bf7d5cb477fe/font.ttf"""
ArtBrush Medium,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/46/4650/4650eb1beac4e5f1b84412534ef27899/font.ttf"""
Arthritis (BRK),"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/f6/f624/f6248de667ac52675b6cc09a3a7308fc/font.ttf"""
Arthur Gothic,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/fb/fb34/fb34e02675b226c5760db5d50d29da4c/font.ttf"""
Asian Guy,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/64/6415/641567f65182ba8b9300edbf1824dec1/font.ttf"""
Asie,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/04/04ef/04ef26eeaf936f98e536ea1dbe1736ea/font.ttf"""
Aspartame BRK,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/77/778a/778a16d9ac3d4d4244636f0c615921cf/font.ttf"""
Asqualt,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/a8/a8b8/a8b80247b37b84b9af8ffdd8eda7bc7a/font.ttf"""
Asrafel,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/bb/bb81/bb81b775dabdab52d41af68adf539ba4/font.ttf"""
Ataxia (BRK),"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/46/468a/468aadfe539a8b1a930bddb02c8cd469/font.ttf"""
Atlantic Mail,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/4a/4ac0/4ac040b53753f6afc6775565d2fc6a88/font.ttf"""
Atomic Sushi,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/f5/f5da/f5da2abd7976dc1c0e0b46d586ff427d/font.ttf"""
